Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1	InSPI2_R2	LSP_R1	LSP_R2
sense	NC_016810.1	RefSeq	region	1	4878012	.	+	.	ID=NC_016810.1:1..4878012;Dbxref=taxon:216597;Is_circular=true;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;serovar=Typhimurium;strain=SL1344;sub-species=enterica	8.419154011421227	7.781615864142198	9.521835156479213	7.291895698030184
sense	NC_016810.1	RefSeq	gene	190	255	.	+	.	ID=gene-SL1344_RS00005;Name=thrL;gbkey=Gene;gene=thrL;gene_biotype=protein_coding;locus_tag=SL1344_RS00005;old_locus_tag=SL1344_0001	181.4618698135283	91.4069191068092	23.819283666485184	19.538422432759926
sense	NC_016810.1	Protein Homology	CDS	190	255	.	+	0	ID=cds-WP_001575544.1;Parent=gene-SL1344_RS00005;Dbxref=GenBank:WP_001575544.1;Name=WP_001575544.1;Ontology_term=GO:0009088,GO:0031554,GO:0031556;gbkey=CDS;gene=thrL;go_process=threonine biosynthetic process|0009088||IEA,regulation of termination of DNA-templated transcription|0031554||IEA,transcriptional attenuation by ribosome|0031556||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459006.1;locus_tag=SL1344_RS00005;product=thr operon leader peptide;protein_id=WP_001575544.1;transl_table=11	181.4618698135283	91.4069191068092	23.819283666485184	19.538422432759926
sense	NC_016810.1	cmsearch	sequence_feature	191	311	.	+	.	ID=id-NC_016810.1:191..311;Dbxref=RFAM:RF00506;Note=Thr leader region;gbkey=misc_feature;inference=COORDINATES: profile:INFERNAL:1.1.5	98.22219061347596	49.85831951280502	12.992336545355556	10.65732132695996
sense	NC_016810.1	RefSeq	gene	337	2799	.	+	.	ID=gene-SL1344_RS00010;Name=thrA;gbkey=Gene;gene=thrA;gene_biotype=protein_coding;locus_tag=SL1344_RS00010;old_locus_tag=SL1344_0002	2.320640126693526	1.5707223034652282	0.0945593432873504	0.0
sense	NC_016810.1	Protein Homology	CDS	337	2799	.	+	0	ID=cds-WP_001264681.1;Parent=gene-SL1344_RS00010;Dbxref=GenBank:WP_001264681.1;Name=WP_001264681.1;Ontology_term=GO:0008652,GO:0009067,GO:0004072,GO:0004412,GO:0050661;gbkey=CDS;gene=thrA;go_function=aspartate kinase activity|0004072||IEA,homoserine dehydrogenase activity|0004412||IEA,NADP binding|0050661||IEA;go_process=amino acid biosynthetic process|0008652||IEA,aspartate family amino acid biosynthetic process|0009067||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1;locus_tag=SL1344_RS00010;product=bifunctional aspartate kinase/homoserine dehydrogenase I;protein_id=WP_001264681.1;transl_table=11	2.320640126693526	1.5707223034652282	0.0945593432873504	0.0
sense	NC_016810.1	RefSeq	gene	2801	3730	.	+	.	ID=gene-SL1344_RS00015;Name=thrB;gbkey=Gene;gene=thrB;gene_biotype=protein_coding;locus_tag=SL1344_RS00015;old_locus_tag=SL1344_0003	6.244446210224121	4.489376180606828	0.32555866803415834	0.0
sense	NC_016810.1	Protein Homology	CDS	2801	3730	.	+	0	ID=cds-WP_000241685.1;Parent=gene-SL1344_RS00015;Dbxref=GenBank:WP_000241685.1;Name=WP_000241685.1;Ontology_term=GO:0009088,GO:0004413,GO:0005524;gbkey=CDS;gene=thrB;go_function=homoserine kinase activity|0004413||IEA,ATP binding|0005524||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459008.1;locus_tag=SL1344_RS00015;product=homoserine kinase;protein_id=WP_000241685.1;transl_table=11	6.244446210224121	4.489376180606828	0.32555866803415834	0.0
sense	NC_016810.1	RefSeq	gene	3734	5020	.	+	.	ID=gene-SL1344_RS00020;Name=thrC;gbkey=Gene;gene=thrC;gene_biotype=protein_coding;locus_tag=SL1344_RS00020;old_locus_tag=SL1344_0004	6.263134595711319	4.851225987597852	0.23525218436034753	0.0
sense	NC_016810.1	Protein Homology	CDS	3734	5020	.	+	0	ID=cds-WP_000781105.1;Parent=gene-SL1344_RS00020;Dbxref=GenBank:WP_000781105.1;Name=WP_000781105.1;Ontology_term=GO:0009088,GO:0004795;gbkey=CDS;gene=thrC;go_function=threonine synthase activity|0004795||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459009.1;locus_tag=SL1344_RS00020;product=threonine synthase;protein_id=WP_000781105.1;transl_table=11	6.263134595711319	4.851225987597852	0.23525218436034753	0.0
