Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1	InSPI2_R2	LSP_R1	LSP_R2
sense	NC_016810.1	RefSeq	region	1	4878012	.	+	.	ID=NC_016810.1:1..4878012;Dbxref=taxon:216597;Is_circular=true;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;serovar=Typhimurium;strain=SL1344;sub-species=enterica	29.617464849187535	34.534383615174406	9.382629706380916	15.28064685871747
sense	NC_016810.1	RefSeq	gene	190	255	.	+	.	ID=gene-SL1344_RS00005;Name=thrL;gbkey=Gene;gene=thrL;gene_biotype=protein_coding;locus_tag=SL1344_RS00005;old_locus_tag=SL1344_0001	638.3587404838039	405.65888430214085	23.471055194838534	40.944048809159476
sense	NC_016810.1	Protein Homology	CDS	190	255	.	+	0	ID=cds-WP_001575544.1;Parent=gene-SL1344_RS00005;Dbxref=GenBank:WP_001575544.1;Name=WP_001575544.1;Ontology_term=GO:0009088,GO:0031554,GO:0031556;gbkey=CDS;gene=thrL;go_process=threonine biosynthetic process|0009088||IEA,regulation of termination of DNA-templated transcription|0031554||IEA,transcriptional attenuation by ribosome|0031556||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459006.1;locus_tag=SL1344_RS00005;product=thr operon leader peptide;protein_id=WP_001575544.1;transl_table=11	638.3587404838039	405.65888430214085	23.471055194838534	40.944048809159476
sense	NC_016810.1	cmsearch	sequence_feature	191	311	.	+	.	ID=id-NC_016810.1:191..311;Dbxref=RFAM:RF00506;Note=Thr leader region;gbkey=misc_feature;inference=COORDINATES: profile:INFERNAL:1.1.5	345.5326121791353	221.26848234662228	12.8023937426392	22.333117532268805
sense	NC_016810.1	RefSeq	gene	337	2799	.	+	.	ID=gene-SL1344_RS00010;Name=thrA;gbkey=Gene;gene=thrA;gene_biotype=protein_coding;locus_tag=SL1344_RS00010;old_locus_tag=SL1344_0002	8.16370353680668	6.970779273587044	0.09317692322577664	0.0
sense	NC_016810.1	Protein Homology	CDS	337	2799	.	+	0	ID=cds-WP_001264681.1;Parent=gene-SL1344_RS00010;Dbxref=GenBank:WP_001264681.1;Name=WP_001264681.1;Ontology_term=GO:0008652,GO:0009067,GO:0004072,GO:0004412,GO:0050661;gbkey=CDS;gene=thrA;go_function=aspartate kinase activity|0004072||IEA,homoserine dehydrogenase activity|0004412||IEA,NADP binding|0050661||IEA;go_process=amino acid biosynthetic process|0008652||IEA,aspartate family amino acid biosynthetic process|0009067||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1;locus_tag=SL1344_RS00010;product=bifunctional aspartate kinase/homoserine dehydrogenase I;protein_id=WP_001264681.1;transl_table=11	8.16370353680668	6.970779273587044	0.09317692322577664	0.0
sense	NC_016810.1	RefSeq	gene	2801	3730	.	+	.	ID=gene-SL1344_RS00015;Name=thrB;gbkey=Gene;gene=thrB;gene_biotype=protein_coding;locus_tag=SL1344_RS00015;old_locus_tag=SL1344_0003	21.96713183807585	19.923604804025263	0.32079912954474654	0.0
sense	NC_016810.1	Protein Homology	CDS	2801	3730	.	+	0	ID=cds-WP_000241685.1;Parent=gene-SL1344_RS00015;Dbxref=GenBank:WP_000241685.1;Name=WP_000241685.1;Ontology_term=GO:0009088,GO:0004413,GO:0005524;gbkey=CDS;gene=thrB;go_function=homoserine kinase activity|0004413||IEA,ATP binding|0005524||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459008.1;locus_tag=SL1344_RS00015;product=homoserine kinase;protein_id=WP_000241685.1;transl_table=11	21.96713183807585	19.923604804025263	0.32079912954474654	0.0
sense	NC_016810.1	RefSeq	gene	3734	5020	.	+	.	ID=gene-SL1344_RS00020;Name=thrC;gbkey=Gene;gene=thrC;gene_biotype=protein_coding;locus_tag=SL1344_RS00020;old_locus_tag=SL1344_0004	22.03287509440591	21.529474364265027	0.2318128908132201	0.0
sense	NC_016810.1	Protein Homology	CDS	3734	5020	.	+	0	ID=cds-WP_000781105.1;Parent=gene-SL1344_RS00020;Dbxref=GenBank:WP_000781105.1;Name=WP_000781105.1;Ontology_term=GO:0009088,GO:0004795;gbkey=CDS;gene=thrC;go_function=threonine synthase activity|0004795||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459009.1;locus_tag=SL1344_RS00020;product=threonine synthase;protein_id=WP_000781105.1;transl_table=11	22.03287509440591	21.529474364265027	0.2318128908132201	0.0
sense	NC_016810.1	RefSeq	gene	5114	5887	.	-	.	ID=gene-SL1344_RS00025;Name=yaaA;gbkey=Gene;gene=yaaA;gene_biotype=protein_coding;locus_tag=SL1344_RS00025;old_locus_tag=SL1344_0005	12.489565823863833	16.471936977938537	0.0	1.3965411996922614
sense	NC_016810.1	Protein Homology	CDS	5114	5887	.	-	0	ID=cds-WP_000906175.1;Parent=gene-SL1344_RS00025;Dbxref=GenBank:WP_000906175.1;Name=WP_000906175.1;gbkey=CDS;gene=yaaA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459010.1;locus_tag=SL1344_RS00025;product=peroxide stress protein YaaA;protein_id=WP_000906175.1;transl_table=11	12.489565823863833	16.471936977938537	0.0	1.3965411996922614
